,title,budget,currency_symbol,currency_amount
1145,Summer of Sam,$ 22000000,$,22000000
1146,Jing Ke ci Qin Wang,$ 15000000,$,15000000
1147,Jurassic Park III,$ 93000000,$,93000000
1148,Runaway Bride,$ 70000000,$,70000000
1149,American Pie,$ 11000000,$,11000000
1150,The Beach,$ 50000000,$,50000000
1151,Bringing Out the Dead,$ 55000000,$,55000000
1152,Hollow Man,$ 95000000,$,95000000
1153,Drive Me Crazy,$ 8500000,$,8500000
1154,Stir of Echoes,$ 12000000,$,12000000
1155,Along Came a Spider,$ 60000000,$,60000000
1156,Stuart Little,$ 133000000,$,133000000
1157,Detroit Rock City,$ 34000000,$,34000000
1158,Romeo Must Die,$ 25000000,$,25000000
1159,Sinbad: Legend of the Seven Seas,$ 60000000,$,60000000
1160,East Is East,GBP 1900000,GBP,2394000.0
1161,Monkeybone,$ 75000000,$,75000000
1162,Waking Ned,$ 3000000,$,3000000
1163,Anna and the King,$ 92000000,$,92000000
1164,Spirit: Stallion of the Cimarron,$ 80000000,$,80000000
1165,The Straight Story,$ 10000000,$,10000000
1166,Mulholland Dr.,$ 15000000,$,15000000
1167,Hellboy,$ 66000000,$,66000000
1168,The Lord of the Rings: The Return of the King,$ 94000000,$,94000000
1169,The Lord of the Rings: The Two Towers,$ 94000000,$,94000000
1170,The Sixth Sense,$ 40000000,$,40000000
1171,Superstar,$ 34000000,$,34000000
1172,Thunderbirds,$ 57000000,$,57000000
1173,Dancer in the Dark,$ 12800000,$,12800000
1174,Antwone Fisher,$ 12500000,$,12500000
1175,Lagaan: Once Upon a Time in India,$ 6000000,$,6000000
1176,American Beauty,$ 15000000,$,15000000
1177,How the Grinch Stole Christmas,$ 123000000,$,123000000
1178,The Haunting,$ 80000000,$,80000000
1179,Keeping the Faith,$ 29000000,$,29000000
1180,Nurse Betty,$ 35000000,$,35000000
1181,Ratcatcher,$ 30000,$,30000
1182,Boys Don't Cry,$ 2000000,$,2000000
1183,Bad Boys II,$ 130000000,$,130000000
1184,The End of the Affair,$ 23000000,$,23000000
1185,"Girl, Interrupted",$ 40000000,$,40000000
1186,Gladiator,$ 103000000,$,103000000
1187,Cecil B. DeMented,$ 10000000,$,10000000
1188,Final Fantasy: The Spirits Within,$ 137000000,$,137000000
1189,Autumn in New York,$ 65000000,$,65000000
1190,The Hurricane,$ 50000000,$,50000000
1191,Scary Movie,$ 19000000,$,19000000
1192,Magnolia,$ 37000000,$,37000000
1193,Galaxy Quest,$ 45000000,$,45000000
1194,The Perfect Storm,$ 140000000,$,140000000
1195,But I'm a Cheerleader,$ 1200000,$,1200000
1196,Quills,$ 13500000,$,13500000
1197,Requiem for a Dream,$ 4500000,$,4500000
1198,Blue Streak,$ 65000000,$,65000000
1199,Finding Forrester,$ 43000000,$,43000000
1200,Minority Report,$ 102000000,$,102000000
1201,Osmosis Jones,$ 70000000,$,70000000
1202,Terminator 3: Rise of the Machines,$ 200000000,$,200000000
1203,Traffic,$ 48000000,$,48000000
1204,Almost Famous,$ 60000000,$,60000000
1205,Bicentennial Man,$ 100000000,$,100000000
1206,"Me, Myself & Irene",$ 51000000,$,51000000
1207,Phone Booth,$ 13000000,$,13000000
1208,A Knight's Tale,$ 65000000,$,65000000
1209,O,$ 5000000,$,5000000
1210,Reindeer Games,$ 42000000,$,42000000
1211,Shanghai Noon,$ 55000000,$,55000000
1212,Wonder Boys,$ 55000000,$,55000000
1213,Battlefield Earth,$ 73000000,$,73000000
1214,Little Nicky,$ 85000000,$,85000000
1215,The Blair Witch Project,$ 60000,$,60000
1216,Frequency,$ 31000000,$,31000000
1217,Space Cowboys,$ 65000000,$,65000000
1218,Bounce,$ 35000000,$,35000000
1219,Down to You,$ 11000000,$,11000000
1220,Gone in Sixty Seconds,$ 90000000,$,90000000
1221,The Patriot,$ 110000000,$,110000000
1222,Blade II,$ 54000000,$,54000000
1223,Gojira ni-sen mireniamu,$ 13000000,$,13000000
1224,Just Visiting,$ 35000000,$,35000000
1225,The Big Kahuna,$ 7000000,$,7000000
1226,The Whole Nine Yards,$ 41300000,$,41300000
1227,Wo hu cang long,$ 17000000,$,17000000
1228,"O Brother, Where Art Thou?",$ 26000000,$,26000000
1229,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,$ 30000000,$,30000000
1230,Vertical Limit,$ 75000000,$,75000000
1231,28 Days,$ 43000000,$,43000000
1232,Head Over Heels,$ 14000000,$,14000000
1233,The Little Vampire,$ 35000000,$,35000000
1234,Erin Brockovich,$ 52000000,$,52000000
1235,Final Destination,$ 23000000,$,23000000
1236,Here on Earth,$ 15000000,$,15000000
1237,Next Friday,$ 11000000,$,11000000
1238,Small Time Crooks,$ 25000000,$,25000000
1239,Zoolander,$ 28000000,$,28000000
1240,Where the Heart Is,$ 15000000,$,15000000
1241,"Monsters, Inc.",$ 115000000,$,115000000
1242,Love & Basketball,$ 20000000,$,20000000
1243,Red Planet,$ 80000000,$,80000000
1244,Riding in Cars with Boys,$ 48000000,$,48000000
1245,The Bank Job,$ 20000000,$,20000000
1246,Coyote Ugly,$ 45000000,$,45000000
1247,Rock Star,$ 57000000,$,57000000
1248,Moulin Rouge!,$ 50000000,$,50000000
1249,Animal Factory,$ 3600000,$,3600000
1250,Boys and Girls,$ 35000000,$,35000000
1251,Exorcist: The Beginning,$ 80000000,$,80000000
1252,Bring It On,$ 11000000,$,11000000
1253,Deuce Bigalow: Male Gigolo,$ 17000000,$,17000000
1254,Save the Last Dance,$ 13000000,$,13000000
1255,Joy Ride,$ 23000000,$,23000000
1256,Children of Men,$ 76000000,$,76000000
1257,What Women Want,$ 70000000,$,70000000
1258,Big Momma's House,$ 30000000,$,30000000
1259,Snatch,GBP 6000000,GBP,7560000.0
1260,Get Carter,$ 63600000,$,63600000
1261,Memento,$ 9000000,$,9000000
1262,The Mummy Returns,$ 98000000,$,98000000
1263,The Wedding Planner,$ 35000000,$,35000000
1264,The Cell,$ 33000000,$,33000000
1265,Remember the Titans,$ 30000000,$,30000000
1266,102 Dalmatians,$ 85000000,$,85000000
1267,Jason X,$ 11000000,$,11000000
1268,Amélie,$ 10000000,$,10000000
1269,Awake,$ 8600000,$,8600000
1270,Meet the Parents,$ 55000000,$,55000000
1271,Miss Congeniality,$ 45000000,$,45000000
1272,2046,$ 12000000,$,12000000
1273,Artificial Intelligence: AI,$ 100000000,$,100000000
1274,Hannibal,$ 87000000,$,87000000
1275,Pearl Harbor,$ 140000000,$,140000000
1276,Rugrats in Paris: The Movie - Rugrats II,$ 30000000,$,30000000
1277,Road Trip,$ 16000000,$,16000000
1278,Enemy at the Gates,$ 68000000,$,68000000
1279,The 6th Day,$ 82000000,$,82000000
1280,Gangs of New York,$ 100000000,$,100000000
1281,Loser,$ 20000000,$,20000000
1282,Unbreakable,$ 75000000,$,75000000
1283,Soul Survivors,$ 17000000,$,17000000
1284,The Family Man,$ 60000000,$,60000000
1285,The Gift,$ 10000000,$,10000000
1286,Bandits,$ 75000000,$,75000000
1287,The Tigger Movie,$ 30000000,$,30000000
1288,Blow,$ 53000000,$,53000000
1289,Chopper,AUD 5000000,AUD,3250000.0
1290,The Glass House,$ 30000000,$,30000000
1291,Brother,$ 10000000,$,10000000
1292,Pay It Forward,$ 40000000,$,40000000
1293,Angel Eyes,$ 53000000,$,53000000
1294,The Score,$ 68000000,$,68000000
1295,Spy Kids,$ 35000000,$,35000000
1296,Ghosts of Mars,$ 28000000,$,28000000
1297,Les rivières pourpres,$ 14000000,$,14000000
1298,Atlantis: The Lost Empire,$ 120000000,$,120000000
1299,Bedazzled,$ 48000000,$,48000000
1300,The Others,$ 17000000,$,17000000
1301,Sweet November,$ 40000000,$,40000000
1302,Down to Earth,$ 49000000,$,49000000
1303,The Fast and the Furious,$ 38000000,$,38000000
1304,3000 Miles to Graceland,$ 62000000,$,62000000
1305,Collateral Damage,$ 85000000,$,85000000
1306,The Matrix Reloaded,$ 150000000,$,150000000
1307,Summer Catch,$ 34000000,$,34000000
1308,The Mexican,$ 57000000,$,57000000
1309,The Pledge,$ 35000000,$,35000000
1310,Equilibrium,$ 20000000,$,20000000
1311,Cats & Dogs,$ 60000000,$,60000000
1312,Saving Silverman,$ 22000000,$,22000000
1313,Dr. Dolittle 2,$ 70000000,$,70000000
1314,The Four Feathers,$ 35000000,$,35000000
1315,Freddy Got Fingered,$ 14000000,$,14000000
1316,Ocean's Eleven,$ 85000000,$,85000000
1317,Serendipity,$ 28000000,$,28000000
1318,Chocolat,$ 25000000,$,25000000
1319,Harry Potter and the Sorcerer's Stone,$ 125000000,$,125000000
1320,The New Guy,$ 13000000,$,13000000
1321,"Dude, Where's My Car?",$ 13000000,$,13000000
1322,The Matrix Revolutions,$ 150000000,$,150000000
1323,The Man Who Wasn't There,$ 20000000,$,20000000
1324,Bridget Jones's Diary,$ 25000000,$,25000000
1325,Stuart Little 2,$ 120000000,$,120000000
1326,Wet Hot American Summer,$ 5000000,$,5000000
1327,40 Days and 40 Nights,$ 17000000,$,17000000
1328,Italiensk for begyndere,$ 1000000,$,1000000
1329,Swordfish,$ 102000000,$,102000000
1330,Sen to Chihiro no kamikakushi,$ 19000000,$,19000000
1331,Windtalkers,$ 115000000,$,115000000
1332,Y tu mamá también,$ 2000000,$,2000000
1333,Thir13en Ghosts,$ 42000000,$,42000000
1334,Joe Dirt,$ 17700000,$,17700000
1335,Amores perros,$ 2000000,$,2000000
1336,The Count of Monte Cristo,$ 35000000,$,35000000
1337,Die Another Day,$ 142000000,$,142000000
1338,Donnie Darko,$ 6000000,$,6000000
1339,Rollerball,$ 70000000,$,70000000
1340,The Believer,$ 1500000,$,1500000
1341,In the Bedroom,$ 1700000,$,1700000
1342,The Princess Diaries,$ 26000000,$,26000000
1343,Super Troopers,$ 3000000,$,3000000
1344,Ali,$ 107000000,$,107000000
1345,Hedwig and the Angry Inch,$ 6000000,$,6000000
1346,Werckmeister harmóniák,FRF 10000000,FRF,1700000.0000000002
1347,Billy Elliot,$ 5000000,$,5000000
1348,Legally Blonde,$ 18000000,$,18000000
1349,Rat Race,$ 48000000,$,48000000
1350,Unfaithful,$ 50000000,$,50000000
1351,Evolution,$ 80000000,$,80000000
1352,How to Lose a Guy in 10 Days,$ 50000000,$,50000000
1353,John Q,$ 36000000,$,36000000
1354,House of 1000 Corpses,$ 7000000,$,7000000
1355,Maid in Manhattan,$ 55000000,$,55000000
1356,Rabbit-Proof Fence,$ 6000000,$,6000000
1357,Hearts in Atlantis,$ 31000000,$,31000000
1358,American Pie 2,$ 30000000,$,30000000
1359,The Pianist,$ 35000000,$,35000000
1360,Reign of Fire,$ 60000000,$,60000000
1361,Star Trek: Nemesis,$ 60000000,$,60000000
1362,The Sweetest Thing,$ 43000000,$,43000000
1363,La pianiste,ATS 70000000,ATS,5515552.32558141
1364,Seom,$ 1000000,$,1000000
1365,The Animal,$ 47000000,$,47000000
1366,Baby Boy,$ 16000000,$,16000000
1367,Shallow Hal,$ 40000000,$,40000000
1368,Sweet Home Alabama,$ 30000000,$,30000000
1369,The Curse of the Jade Scorpion,$ 33000000,$,33000000
1370,Road to Perdition,$ 80000000,$,80000000
1371,S.W.A.T.,$ 80000000,$,80000000
1372,Scary Movie 2,$ 45000000,$,45000000
1373,About Schmidt,$ 30000000,$,30000000
1374,Cursed,$ 38000000,$,38000000
1375,Kangaroo Jack,$ 60000000,$,60000000
1376,Panic Room,$ 48000000,$,48000000
1377,The Bourne Identity,$ 60000000,$,60000000
1378,Bubble Boy,$ 13000000,$,13000000
1379,Dragonfly,$ 60000000,$,60000000
1380,Ghost Rider,$ 110000000,$,110000000
1381,My Big Fat Greek Wedding,$ 5000000,$,5000000
1382,Vanilla Sky,$ 68000000,$,68000000
1383,Digimon: The Movie,$ 5000000,$,5000000
1384,Don't Say a Word,$ 50000000,$,50000000
1385,Jay and Silent Bob Strike Back,$ 22000000,$,22000000
1386,George Washington,$ 42000,$,42000
1387,Jeepers Creepers,$ 10000000,$,10000000
1388,Catch Me If You Can,$ 52000000,$,52000000
1389,Frailty,$ 11000000,$,11000000
1390,Murder by Numbers,$ 50000000,$,50000000
1391,America's Sweethearts,$ 46000000,$,46000000
1392,Black Hawk Down,$ 92000000,$,92000000
1393,The Girl Next Door,$ 25000000,$,25000000
1394,Big Fat Liar,$ 15000000,$,15000000
1395,The Mothman Prophecies,$ 32000000,$,32000000
1396,One Hour Photo,$ 12000000,$,12000000
1397,Recess: School's Out,$ 23000000,$,23000000
1398,The Rookie,$ 22000000,$,22000000
1399,The Royal Tenenbaums,$ 21000000,$,21000000
1400,Duplex,$ 40000000,$,40000000
1401,Finding Nemo,$ 94000000,$,94000000
1402,Kill Bill: Vol. 1,$ 30000000,$,30000000
1403,Rush Hour 2,$ 90000000,$,90000000
1404,K-19: The Widowmaker,$ 100000000,$,100000000
1405,The One,$ 49000000,$,49000000
1406,Scooby-Doo,$ 84000000,$,84000000
1407,Adaptation.,$ 19000000,$,19000000
1408,Ice Age,$ 59000000,$,59000000
1409,Jimmy Neutron: Boy Genius,$ 30000000,$,30000000
1410,A Beautiful Mind,$ 58000000,$,58000000
1411,The Majestic,$ 72000000,$,72000000
1412,The Hunted,$ 55000000,$,55000000
1413,The Truth About Charlie,$ 60000000,$,60000000
1414,Superbabies: Baby Geniuses 2,$ 20000000,$,20000000
1415,My Boss's Daughter,$ 14000000,$,14000000
1416,Kiss of the Dragon,$ 25000000,$,25000000
1417,Eight Crazy Nights,$ 34000000,$,34000000
1418,Eight Legged Freaks,$ 30000000,$,30000000
1419,The Last Castle,$ 72000000,$,72000000
1420,K-PAX,$ 68000000,$,68000000
1421,Punch-Drunk Love,$ 25000000,$,25000000
1422,Ararat,$ 15500000,$,15500000
1423,Darkness,$ 10600000,$,10600000
1424,Johnny English,$ 40000000,$,40000000
1425,The Hours,$ 25000000,$,25000000
1426,Secretary,$ 4000000,$,4000000
1427,Lilo & Stitch,$ 80000000,$,80000000
1428,About a Boy,$ 30000000,$,30000000
1429,Dogville,$ 10000000,$,10000000
1430,I Am Sam,$ 22000000,$,22000000
1431,The Scorpion King,$ 60000000,$,60000000
1432,Not Another Teen Movie,$ 15000000,$,15000000
1433,All About the Benjamins,$ 15000000,$,15000000
1434,Enough,$ 38000000,$,38000000
1435,How High,$ 20000000,$,20000000
1436,The Importance of Being Earnest,$ 15000000,$,15000000
1437,Insomnia,$ 46000000,$,46000000
1438,Spider,$ 10000000,$,10000000
1439,Minoes,EUR 5328737,EUR,5861610.7
1440,Undercover Brother,$ 25000000,$,25000000
1441,Return to Never Land,$ 20000000,$,20000000
1442,Mr. Deeds,$ 50000000,$,50000000
1443,Gosford Park,$ 19800000,$,19800000
1444,Igby Goes Down,$ 9000000,$,9000000
1445,A Walk to Remember,$ 11800000,$,11800000
1446,Wasabi,EUR 15300000,EUR,16830000.0
1447,Snow Dogs,$ 33000000,$,33000000
1448,Bubba Ho-Tep,$ 1000000,$,1000000
1449,Darkness Falls,$ 11000000,$,11000000
1450,Spun,$ 2000000,$,2000000
1451,Tuck Everlasting,$ 15000000,$,15000000
1452,Van Wilder,$ 5000000,$,5000000
1453,The Jungle Book 2,$ 20000000,$,20000000
1454,No Man's Land,EUR 2100000,EUR,2310000.0
1455,The Emperor's Club,$ 12500000,$,12500000
1456,They,$ 17000000,$,17000000
1457,Dreamcatcher,$ 68000000,$,68000000
1458,Dahmer,$ 250000,$,250000
1459,Monster's Ball,$ 4000000,$,4000000
1460,Once Upon a Time in Mexico,$ 29000000,$,29000000
1461,Signs,$ 72000000,$,72000000
1462,Siu Lam juk kau,$ 10000000,$,10000000
1463,Les triplettes de Belleville,$ 9500000,$,9500000
1464,Bend It Like Beckham,GBP 3500159,GBP,4410200.34
1465,Hulk,$ 137000000,$,137000000
1466,What a Girl Wants,$ 25000000,$,25000000
1467,Spy Kids 2: Island of Lost Dreams,$ 38000000,$,38000000
1468,Daredevil,$ 78000000,$,78000000
1469,The Medallion,$ 41000000,$,41000000
1470,Ghost Ship,$ 20000000,$,20000000
1471,28 Days Later...,$ 8000000,$,8000000
1472,The Powerpuff Girls Movie,$ 11000000,$,11000000
1473,Red Dragon,$ 78000000,$,78000000
1474,The Butterfly Effect,$ 13000000,$,13000000
1475,The Life of David Gale,$ 38000000,$,38000000
1476,Meet the Fockers,$ 80000000,$,80000000
1477,The Tuxedo,$ 60000000,$,60000000
1478,Max,$ 11000000,$,11000000
1479,X2,$ 110000000,$,110000000
1480,Mean Machine,GBP 2500000,GBP,3150000.0
1481,The Recruit,$ 46000000,$,46000000
1482,The Rules of Attraction,$ 4000000,$,4000000
1483,Before the Devil Knows You're Dead,$ 18000000,$,18000000
1484,Metoroporisu,$ 15000000,$,15000000
1485,The Phantom of the Opera,$ 70000000,$,70000000
1486,Rush Hour 3,$ 140000000,$,140000000
1487,The Transporter,$ 21000000,$,21000000
1488,Friday After Next,$ 10000000,$,10000000
1489,Rent,$ 40000000,$,40000000
1490,Austin Powers in Goldmember,$ 63000000,$,63000000
1491,Feardotcom,$ 40000000,$,40000000
1492,Harry Potter and the Chamber of Secrets,$ 100000000,$,100000000
1493,The Master of Disguise,$ 16000000,$,16000000
1494,Wrong Turn,$ 12600000,$,12600000
1495,xXx,$ 70000000,$,70000000
1496,Koroshiya 1,$ 1400000,$,1400000
1497,The Chronicles of Riddick,$ 105000000,$,105000000
1498,Mindhunters,$ 27000000,$,27000000
1499,Far from Heaven,$ 13500000,$,13500000
1500,The Ring,$ 48000000,$,48000000
1501,Shrek 2,$ 150000000,$,150000000
1502,8 Mile,$ 41000000,$,41000000
1503,Whale Rider,$ 3500000,$,3500000
1504,The Core,$ 60000000,$,60000000
1505,Home on the Range,$ 110000000,$,110000000
1506,Chicago,$ 45000000,$,45000000
1507,Gigli,$ 54000000,$,54000000
1508,Ying xiong,$ 31000000,$,31000000
1509,Jersey Girl,$ 35000000,$,35000000
1510,Shanghai Knights,$ 50000000,$,50000000
1511,Timeline,$ 80000000,$,80000000
1512,Good Bye Lenin!,EUR 4800000,EUR,5280000.0
1513,Jeepers Creepers 2,$ 17000000,$,17000000
1514,Old School,$ 24000000,$,24000000
1515,May,$ 500000,$,500000
1516,Barbershop,$ 12000000,$,12000000
1517,Cabin Fever,$ 1500000,$,1500000
1518,Drumline,$ 20000000,$,20000000
1519,Harry Potter and the Prisoner of Azkaban,$ 130000000,$,130000000
1520,Mona Lisa Smile,$ 65000000,$,65000000
1521,The Santa Clause 2,$ 65000000,$,65000000
1522,Anger Management,$ 75000000,$,75000000
1523,Charlie's Angels: Full Throttle,$ 120000000,$,120000000
1524,Just Married,$ 18000000,$,18000000
1525,Scary Movie 3,$ 48000000,$,48000000
1526,Cradle 2 the Grave,$ 25000000,$,25000000
1527,The Lizzie McGuire Movie,$ 17000000,$,17000000
1528,Shark Tale,$ 75000000,$,75000000
1529,Solaris,$ 47000000,$,47000000
1530,25th Hour,$ 5000000,$,5000000
1531,Bad Santa,$ 23000000,$,23000000
1532,Ballistic: Ecks vs. Sever,$ 70000000,$,70000000
1533,Like Mike,$ 30000000,$,30000000
1534,Finding Neverland,$ 25000000,$,25000000
1535,Blood Work,$ 50000000,$,50000000
1536,Final Destination 2,$ 26000000,$,26000000
1537,Identity,$ 28000000,$,28000000
1538,Luther,$ 30000000,$,30000000
1539,The Dreamers,$ 15000000,$,15000000
1540,Willard,$ 20000000,$,20000000
1541,Boksuneun naui geot,$ 4000000,$,4000000
1542,Master and Commander: The Far Side of the World,$ 150000000,$,150000000
1543,Holes,$ 20000000,$,20000000
1544,The League of Extraordinary Gentlemen,$ 78000000,$,78000000
1545,The Curse of the Were-Rabbit,$ 30000000,$,30000000
1546,The Cat in the Hat,$ 109000000,$,109000000
1547,Runaway Jury,$ 60000000,$,60000000
1548,Two Weeks Notice,$ 60000000,$,60000000
1549,Anything Else,$ 18000000,$,18000000
1550,Love Actually,$ 40000000,$,40000000
1551,My Life Without Me,EUR 2000000,EUR,2200000.0
1552,The Perfect Score,$ 40000000,$,40000000
1553,Bruce Almighty,$ 81000000,$,81000000
1554,21 Grams,$ 20000000,$,20000000
1555,Open Range,$ 22000000,$,22000000
1556,Peter Pan,$ 100000000,$,100000000
1557,Radio,$ 35000000,$,35000000
1558,Spider-Man 2,$ 200000000,$,200000000
1559,Taxi,$ 25000000,$,25000000
1560,Bridget Jones: The Edge of Reason,$ 40000000,$,40000000
1561,Cars,$ 120000000,$,120000000
1562,Cidade de Deus,$ 3300000,$,3300000
1563,Daddy Day Care,$ 60000000,$,60000000
1564,Hidalgo,$ 100000000,$,100000000
1565,House of the Dead,$ 12000000,$,12000000
1566,The Incredibles,$ 92000000,$,92000000
